分野,単語,意味の違い
マネジメント系,プロジェクトの所要時間を短縮する方法,"・クラッシング：メンバーの時間外勤務を増やしたり、業務内容に精通したメンバーを新たに増員するなど、クリティカルパス上のアクティビティに資源を追加投入して短縮を図る方法
・ファストトラッキング：全体の設計が完了する前に仕様が固まっているモジュールの開発を開始するなど、当初の計画で順番に行う予定だったアクティビティを並行して行うことによって短縮を図る方法"
マネジメント系,"マーケティング
マーケティングミックス","* プッシュ戦略（メーカーから`小売業者`に対する）：製造業者が、流通業者に何らかのインセンティブ（主に経済的メリット）を提供することで、自社製品を強力に販売し、消費者に商品を提供する戦略（メーカーが消費者に製品を押し出す戦略）
* プル戦略（メーカーから`消費者`に対する）：製造者が、広告・宣伝などにより消費者に直接働きかけ、消費者から流通業者に自社製品を取り扱うように仕向ける戦略（消費者の需要が製品を引っ張る戦略）

・【プル型】インバウンドマーケティング：SNSやブログ、Webサイトなどのインターネットメディアを通じて発信を行い、それらに興味を持って訪れた利用者を最終的に顧客に取り込もうとするマーケティング手法。ターゲット層を惹きつける魅力的なコンテンツを用意しておくことで、見込み客の主体的な来訪を促し集客を行う。

・【プッシュ型】アウトバウンドマーケティング：従来のように不特定多数に向けて広告やPRイベントまたはメルマガ配信などを行う

・ダイレクトマーケティング：対象として選ばれた既存の顧客や見込み客に対して個別に行われるマーケティング活動。個々にきめ細やかな提案を行ったり、それに対する直接の反応を獲得することで、優良な関係を築いていくことを目的とする

・【プッシュ型】テレマーケティング：オペレーターが電話で直接顧客と対話して販売促進を行う手法。広告を見た顧客側からの電話を受け付けて商品やサービスを案内するケースや、顧客名簿をもとに企業側から見込み客に電話をかける例"
マネジメント系,リスクアセスメント,"1. リスク基準の確率
*** 2. リスクの特定
*** 3. リスク分析
*** 4. リスク評価
5. リスク対応"
マネジメント系,監査のチェックポイント,"・システムテスト工程を監査するときのチェックポイント：システムテスト要件に基づいてテスト計画を作成し、システム運用部門の責任者の承認を得ていること
・プログラミング工程を監査するときのチェックポイント：プログラミングは定められた標準に従っていること
・プログラム設計を監査するときのチェックポイント：システム設計書に基づき、プログラム仕様書を作成していること
・利用者要件が充足されないリスクを低減するコントロールを監査するときのチェックポイント：利用部門が参画して、システム設計書（開発及びユーザーの責任者の承認を得ているかについてチェックし）のレビューを行っていること"
マネジメント系,監査技法,"システム監査の目標：情報システムの信頼性・安全性・効率性などの向上のために客観的な立場から総合的に評価・勧告・改善活動のフォローアップまでを行う

・ウォークスルー法：データの生成から入力、処理、出力、活用までのプロセス及び組み込まれているコントロールを、システム監査人が、書面上で、または実際に追跡する

・ドキュメントレビュー法：監査対象の状況に関する監査証拠を入手するために、システム監査人が、関連する資料及び文書類を入力し、内容を点検する

・インタビュー法：監査対象の実態を確かめるために、システム監査人が、直接、関係者に口頭で問い合わせ、回答を入手する

・コンピューター支援監査技法の1つであるテストデータ法：あらかじめシステム監査人が準備したテスト用データを監査対象プログラムで処理し、機体した結果が出力されるかどうかを確かめる

・チェックリスト法：システム監査人が、あらかじめ監査対象に応じて調整して作成したチェックリスト（通例、チェックリスト形式の質問書）に対して、関係者から回答を求める技法

・現地調査法：システム監査人が、被調査部門などに直接赴き、対象業務の流れなどの状況を自ら観察・調査する技法。実際の業務の流れをかくにんするには業務時間内に実施しなければならない"
マネジメント系,"監査技法
レビュー法","・ウォークスルー：担当者が関係者に対して成果物の内容を説明する

・インスペクション：モデレーターが司会進行役となり、参加者の役割を明確にして進める

・ラウンドロビン：参加者全員がテーマごとに持ち回りで責任者となり進める"
マネジメント系,監査技法・技術開発戦略,"・ゲーミフィケーション：日常の様々な活動にゲーム要素を仕掛けることで、サービスや製品への愛着を利用者にもたせ、より多く使用してもらう仕組みのことをいう。例としては、活動の進みにより与えられるポイントやバッジのほかに、点数やランキング付け、レベルに応じたコンテンツ提供、他人と規則仕組み、隠し要素の導入などが挙げられる

・ウォークスルー：開発者が主体となり、エラーの早期発見を目的として設計書やプログラムに誤りがないかを確認するレビュー手法

・ブレーンストーミング：ブレスト。様々なアイデアを広く集めるために行われるグループ討議の方法。参加者が遠慮せずにいろいろな意見を発言できるように、批判の禁止・自由奔放・質より量・結合/便乗歓迎というルールに則って行われる

・ハッカソン：ハック（hack）とマラソン（marathon）。IT技術者やデザイナーなどがチームとなり、与えられた短期間内に沿ったアプリケーションやサービスを開発し、その成果を競い合うイベントのこと。オープンイノベーションの方法の1つとして注目されている"
マネジメント系,企業目標やビジネス戦略,"・バリューエンジニアリング：価値 = 機能 / コスト。商品やサービスの価値を機能とコストの関係で分析し、価値を向上させる手法

・モニタリング：経営計画や業務改革が目標に沿って遂行され、想定した成果を挙げていることを確認する行為

・KPI：企業目標の達成に向けて行われる活動の実行状況を図るために設定する重要な指標

・CSF：経営計画で設定した目標を達成するための最も重要な要因

・ブランド戦略：企業自体や商品・製品に対する顧客のイメージを高めることで、顧客の商品などに対する付加価値を高めるようとする戦略"
マネジメント系,技術開発戦略,"・マッシュアップ：公開されている複数のサービスを利用して、新たなサービスを提供する

・リバースエンジニアリング：既存のプログラムから、そのプログラムの仕様を導き出す

・コンポネート指向プログラム：既存のプログラムを部品化し、それらの部品を組み合わせて、新規プログラムを開発する

・オブジェクト指向開発手法：クラスライブラリを利用して、新規プログラムを開発する

・プル戦略：製造業者が、広告・宣伝などにより消費者に直接働きかけ、消費者から流通業者に自社製品を取り扱うように仕向ける戦略

・プッシュ戦略：流通業者に何らかのインセンティブ（主に経済的メリット）を提供することで、自社製品の販売を強力に促進させて、消費者に商品を提供する戦略

・ロングテール：販売見込み数がかなり少ない商品を幅広く取扱い、インターネットで販売する"
マネジメント系,業務形態,"・ワークシェアリング：仕事と共有を組み合わせた言葉で、人々の間で雇用を分かち合うことを意味とする。1人当たりの労働時間を短縮したり仕事の配分を見直したりすることによって、労働の負荷を減らすとともに新たな雇用を生み出す取り組み、雇用維持や雇用創出を目的とする

・シェアードサービス：グループ企業内に共通的に存在する業務（主に間接部門の業務）を１か所に集中・統合して独立させ、それぞれの企業で共有してサービス提供を受けることを言う。コストの削減と経営の効率化を目的とする

・シェアリングエコノミー：モノやサービスを所有するのではなく、インターネット上のプラットフォームを介して個人と個人の間で使っていないモノ・場所・技能などを貸し借り・売買することによって、共有していく経済の動きのこと。借主は遊休資産の活用によ収入が得られ、借主は購入や維持にかかわるコストを削減できる利点がある。カーシェアやライドシェア、民泊のマッチングサービス、フリマアプリ、クラウドソーシング、クラウドファンディングなどが代表例

・テレワーク：各自が在宅などの勤務先以外のオフィススペースで仕事を行い、勤務先とのやり取りは電話、メール、チャット、テレビ会議などのオンラインで行う勤務形態。出社の必要がないので時間や場所の制約を受けずに柔軟に働くことができる利点がある"
マネジメント系,金融庁【財務報告に係るニア舞踏性の評価及び監査の基準】、内部統制の基本的要素,"・統制環境：組織の気風を決定し、組織内のすべての者の統制に対する意識に影響を与えるとともに、他の基本的要素の基礎・基盤のこと
・リスクの評価と対応：組織目標の達成に影響を与える事象について、組織目標の達成を阻害する要因をリスクとして識別、分析及び評価するプロセス
・統制活動：経営者の命令及び指示が適切に実行されることを確保するために定められる方針及び手続のこと
　・発注業務と検収業務をそれぞれ別の者に担当させること
・情報と伝達：必要な情報が識別、把握及び処理され、組織内外及び関係者相互に正しく伝えられることを確保すること
・モニタリング：内部統制が有効に機能していることを継続的に評価するプロセス
・ITへの対応：組織目標を達成するために予め適切な方針及び手続を定め、それを踏まえて、業務の実施において組織の内外のITに対し適切に対応すること"
マネジメント系,情報セキュリティマネジメントで維持管理すべき三要素,"* 信頼性（Reliability）：システムが安定して稼働し続けられること、故障しにくいこと（`MTBF`（`システムが稼働していた時間` / `故障した回数`）で評価）
　　* 平均サービス・インシデント間隔
　　* 平均故障間隔

* 可用性（Availability）：使いたい時にいつでも使えること（`稼働率`で評価）
　　* SLAで合意される時間に対する、実際に利用できた時間の割合で表される
　　* 一定期間内での中断の数

* 保守性（Serviceability）：故障した時に早く普及できること（`MTTR`で評価）
　　* 平均サービス回復時間

* 保全性/完全性/インテグリティ（Integrity）：データが欠損なく正しく保存されていること

* 安全性（Security）：高いセキュリティを維持できること"
マネジメント系,情報戦略の立案,"経営事業戦略
経営事業目標
中長期構想およびこれらと連動した企業の情報戦略と整合性がある"
マネジメント系,内部統制,構築、運用、評価、監査
マネジメント系,内部統制,"・コントロールトータルチェック：複数のシステム間でのデータ連携において、送信側システムで集計した送信データの件数の合計と、受信側システムで集計した受信データの件数の合計を照らし合わして確認するためのコントロール。入力された数値の合計と出力される数値の合計を都度照らし合わせすることでデータ処理の完全性を高める機能

・エディットバリデーションチェック：ユーザーにより入力された値が「範囲内に収まっているか」や「理論的に正しい」「決められたフォーマットになっているか」など、システムが予定されている形式であるかを確認することで入力値の正確性を高める機能

・アクセスコントロール：参照可能な資源および許可する層さを、利用者の属性ごとに適切に制御することで機密性を高める機能

・チェックデジット：元の符号から規則によって算出された数字を元の符号に付加することで、符号の入力誤りなどを検出する方法"
,,
ストラテジ系,【標準化】,"・ユビキタス化：あらゆるものにコンピューターが組み込まれ、コンピューター同士が協調動作をすることで、人間がコンピューターの存在を意識することなく高い利便性を得られる様子

・コモディティ化：ある製品やカテゴリーについてメーカーや販売会社ごとの機能的・品質的な差異がごく僅かとなり、市場の製品が均一化している様子を表す

・ネットワーク化：モノ同士や人同士がなにらかの方法でつながることで形成される構造や体系を表している

・標準化：ある業務や製品において、共通の企規格・仕様・形式などを定めることを言う"
テクノロジ系,生成AI,"・シンギュラリティ：人口知能（AI)が人間の能力を超える転換点のことで、技術的特異点とも呼ばれる。この段階に達したAIは、AI自身が自己学習により優れたAI改善することを繰り返すとされ、極めて短時間で大きな技術変革がもたらす反面、人間の予測や制御が及ばなくなるなどの危険性も指摘されている。本当に到来するかどうかは定かではなく、あくまでも仮設の一つにすぎないが、現在の予想では2045年ころに訪れるだろうと言われる

・エコーチェンバー：録音部屋。趣味・思考が近い利用者が集まる場で同種の意見のやり取りが繰り返されることにより、特定の意見や思想が増幅していく様子を言う。特にインターネットは同じ思考や主義をもつ者同士がつながりやすいため、SNSやオンラインコミュニティなどでよくみられる現象

・ハルシネーション：幻覚・妄想。生成AIが利用者の問いかけに対し、あたかも真実であるかのように、的外れな情報や事実とは異なる情報を回答する現象のこと。主に古い情報や誤った情報を含む学習データの問題、あるいは出力文を生成する際のプロセスに起因して発生する

・ディープフェイク：学習した生成AIによって作られた、本物と見まごうほど精巧にできた偽の画像、動画、音声のこと。適切な方法に使用すれば、映像制作やAIによるテレビニュース読み上げなど大きな利便性をもたらす技術だが、偽の画像・音声の生成によって情報創作や権利侵害、セキュリティ侵害のリスクがあるなどの問題も抱えている"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
